Date,Open,High,Low,Close,Volume,OpenInt
20120525,10.89,10.89,10.05,10.05,710,0
20120528,9.99,9.99,9.99,9.99,2,0
20120531,9.99,9.99,8.1,8.1,99,0
20120601,8.75,8.75,8.75,8.75,22,0
20120613,8.7,8.85,8.35,8.7,1785,0
20120614,8.7,8.7,8,8.22,2029,0
20120615,8.23,8.23,8.1,8.1,19,0
20120618,8.11,8.11,8.09,8.09,1019,0
20120619,8,8,7.95,7.95,111,0
20120620,8,8,7.7,7.7,35,0
20120621,8,8,7.77,7.88,1535,0
20120622,7.89,7.89,7.46,7.85,580,0
20120625,7.89,7.89,7.85,7.85,365,0
20120626,7.7,7.7,7.33,7.7,365,0
20120627,7.7,7.7,7.33,7.7,991,0
20120628,7.7,7.7,7.7,7.7,5,0
20120629,7.5,7.5,7.11,7.45,1066,0
20120702,7.45,7.45,7.09,7.45,346,0
20120703,7.45,7.45,6.75,7.4,1258,0
20120704,7.45,7.45,7.45,7.45,5,0
20120705,7.45,7.45,7.05,7.1,5265,0
20120706,7.05,7.05,6.7,7.05,300,0
20120709,7.05,7.05,7.05,7.05,5,0
20120710,7.05,7.05,6.92,7.05,7,0
20120711,7.05,7.05,7.05,7.05,1,0
20120712,7.05,7.05,6.65,6.95,1124,0
20120713,6.95,6.95,6.95,6.95,10,0
20120716,6.8,6.8,6.8,6.8,5,0
20120717,6.85,6.85,6.69,6.69,20,0
20120719,6.69,6.69,6.69,6.69,5,0
20120720,6.7,6.7,6.7,6.7,5,0
20120724,6.28,6.7,6.28,6.7,3,0
20120726,6.7,6.7,6.7,6.7,10,0
20120801,6.69,6.69,6.69,6.69,5,0
20120806,6.37,6.65,6.37,6.65,1125,0
20120807,6.65,6.65,6.65,6.65,1,0
20120808,6.65,6.65,6.65,6.65,5,0
20120809,6.65,6.65,6.65,6.65,10,0
20120810,6.65,6.65,5.92,5.92,1255,0
20120813,6.65,6.65,6.65,6.65,20,0
20120814,6.65,6.65,6.65,6.65,5,0
20120816,6.65,6.65,6.65,6.65,5,0
20120817,6.55,6.55,6.55,6.55,10,0
20120820,6.55,6.55,6.55,6.55,3,0
20120821,6.55,6.55,6.55,6.55,5,0
20120822,6.55,6.55,6.55,6.55,5,0
20120823,6.55,6.55,6.55,6.55,5,0
20120824,6.55,6.55,6.55,6.55,5,0
20120827,6.55,6.55,6.55,6.55,10,0
20120828,6.55,6.55,6.55,6.55,5,0
20120829,6.55,6.55,6.55,6.55,5,0
20120830,6.55,6.55,6.55,6.55,71,0
20120831,6.55,6.55,6.55,6.55,65,0
20120903,6.55,6.55,6.55,6.55,10,0
20120904,5.9,6.55,5.9,6.55,75,0
20120905,6.55,6.55,6.55,6.55,10,0
20120906,6.55,6.55,6,6,312,0
20120907,5.99,5.99,5.98,5.98,110,0
20120910,6,6,5.65,6,44,0
20120911,6,6,5.42,5.57,1449,0
20120912,5.97,5.97,5.97,5.97,5,0
20120913,5.97,5.97,5.37,5.54,2586,0
