Date,Open,High,Low,Close,Volume,OpenInt
20131030,75.042,78.111,74.882,75.939,7603241,0
20131031,75.051,76.82,75.051,75.931,328518,0
20131104,75.79,76.492,75.426,75.65,159406,0
20131105,75.462,75.79,74.948,75.416,276300,0
20131106,74.723,75.097,70.185,75.097,551567,0
20131107,73.076,74.995,73.076,74.854,216456,0
20131108,74.854,75.228,74.854,75.228,139854,0
20131112,74.854,76.258,74.676,75.931,126968,0
20131113,75.594,77.231,75.416,77.044,120735,0
20131114,75.705,76.725,75.426,76.725,108726,0
20131115,75.808,79.055,75.808,77.671,144894,0
20131118,77.661,78.737,76.866,78.317,211956,0
20131119,77.568,78.747,77.362,78.129,117446,0
20131120,78.129,78.129,77.194,77.194,181950,0
20131121,77.044,77.287,76.258,76.511,563782,0
20131122,76.258,77.428,76.164,77.1,151179,0
20131125,76.772,78.943,76.772,78.597,305126,0
20131126,78.232,78.597,77.68,78.307,139186,0
20131127,77.483,79.851,77.483,79.533,490776,0
20131128,79.533,82.34,79.533,80.702,278317,0
20131129,80.75,81.788,80.75,81.31,90638,0
20131202,81.31,81.31,80.188,80.188,69050,0
20131203,80.824,81.021,78.597,79.083,63490,0
20131204,79.533,79.954,78.606,78.606,88901,0
20131205,79.252,79.523,78.129,78.129,37683,0
20131206,78.569,78.597,77.942,78.269,37425,0
20131209,78.606,80.843,78.606,80.469,64826,0
20131210,80.655,80.918,80.188,80.469,71164,0
20131211,80.655,80.702,79.533,79.954,115287,0
20131212,79.992,79.992,77.661,77.661,73101,0
20131213,77.661,78.392,77.549,77.661,229697,0
20131216,77.671,78.597,77.671,78.597,210652,0
20131217,78.877,78.877,75.977,76.351,269542,0
20131218,76.351,77.895,76.351,77.661,223902,0
20131219,77.699,78.597,76.099,76.725,127717,0
20131220,77.661,77.792,76.37,77.006,105349,0
20131223,77.194,78.194,76.267,77.287,141883,0
20131227,77.437,77.97,76.745,77.97,143498,0
20131230,78.129,80.441,78.129,80.441,122508,0
20140102,79.692,80.889,79.533,80.871,13812,0
20140103,80.871,80.871,80.029,80.094,7785,0
20140107,80.067,80.067,78.485,79.065,48260,0
20140108,78.495,80.412,78.129,79.683,21895,0
20140109,80.328,80.328,78.877,79.542,16303,0
20140110,79.533,79.533,77.849,78.812,21788,0
20140113,78.812,80.374,78.812,80.356,63766,0
20140114,79.814,80.843,79.533,79.907,85637,0
20140115,80.469,80.469,79.907,80.328,77258,0
20140116,80.374,81.217,80.188,80.655,58031,0
20140117,80.75,83.088,80.75,82.19,123725,0
20140120,82.19,82.33,81.057,82.293,56698,0
20140121,82.35,83.734,82.34,83.415,63859,0
20140122,83.65,84.969,82.827,84.211,104079,0
20140123,84.679,86.054,84.585,85.147,68903,0
20140124,84.735,84.773,83.378,84.211,123965,0
20140127,83.744,84.108,81.507,84.108,56134,0
20140128,83.518,84.969,83.275,84.969,32265,0
20140129,85.147,86.27,84.23,85.147,34583,0
20140130,84.304,85.595,84.304,85.147,7050,0
20140131,85.147,85.147,84.557,84.557,30856,0
20140203,84.258,85.896,84.258,85.568,16476,0
20140204,84.932,85.896,84.211,85.605,29121,0
20140205,85.876,86.082,85.316,85.801,68521,0
20140206,86.082,88.646,86.082,87.626,127186,0
20140207,88.216,88.282,87.215,87.486,14288,0
20140210,87.27,87.767,87.27,87.486,6566,0
20140211,87.486,87.945,87.299,87.299,12943,0
20140212,87.159,87.842,86.831,87.842,22902,0
20140213,87.674,87.842,86.55,87.018,53585,0
20140214,87.476,87.476,86.55,86.55,79415,0
20140217,86.204,87.205,84.819,86.55,29102,0
20140218,86.55,86.55,84.679,85.615,86390,0
20140219,85.053,86.082,84.912,85.615,50186,0
20140220,85.549,85.708,85.147,85.708,95817,0
20140221,85.708,86.457,85.708,86.298,31582,0
20140224,86.363,86.448,84.912,86.082,10194,0
20140225,85.568,86.878,85.24,86.541,73718,0
20140226,86.438,86.457,85.147,85.521,31975,0
