Date,Open,High,Low,Close,Volume,OpenInt
20121228,10,13.4,9.06,11.64,193560,0
20130102,11.9,12.19,10.09,10.5,101696,0
20130103,10.5,10.8,10.4,10.5,37696,0
20130104,10.5,11.49,10.45,11.4,44035,0
20130107,11.66,11.8,11,11.44,16132,0
20130108,11.7,11.7,11.2,11.2,7525,0
20130109,11.4,11.4,10.5,10.6,34225,0
20130110,10.72,10.72,10.52,10.58,3712,0
20130111,10.7,10.94,10.67,10.91,4263,0
20130114,11.15,11.54,10.98,11.48,14477,0
20130115,11.3,11.5,11.02,11.05,2158,0
20130116,11.11,11.2,11.05,11.2,1284,0
20130117,11.15,11.15,10.93,11.05,951,0
20130118,11.07,11.18,10.96,11.1,2888,0
20130121,11.18,11.44,11,11.3,6035,0
20130122,11.42,11.45,11.16,11.41,7093,0
20130123,11.21,11.44,11.21,11.4,5003,0
20130124,11.25,11.4,11.23,11.25,1185,0
20130125,11.15,11.37,11.15,11.31,7195,0
20130128,11.4,11.9,11.4,11.9,36936,0
20130129,11.77,12.35,11.77,12.3,15992,0
20130130,12.25,14.2,12.25,14.2,86639,0
20130131,14.3,15.2,14.3,15,20975,0
20130201,14.8,14.99,13.3,13.3,38683,0
20130204,13.5,13.72,13.31,13.67,24406,0
20130205,13.9,14.4,13.87,14,33347,0
20130206,14.39,14.39,13.8,13.99,73513,0
20130207,14,14,13.9,13.98,170678,0
20130208,14.19,14.2,13.51,14,5770,0
20130211,14,14,13.8,13.85,2878,0
20130212,13.95,13.95,13.61,13.87,51748,0
20130213,13.52,13.9,13.3,13.58,5644,0
20130214,13.31,13.5,13.3,13.3,1964,0
20130215,13.2,13.2,11.88,11.97,38994,0
20130218,11.67,12.75,11.43,12.5,14580,0
20130219,12.7,12.99,12.65,12.8,5913,0
20130220,13,13.1,12.43,12.43,3769,0
20130221,12.29,12.29,11.2,11.27,20033,0
20130222,11.51,11.51,10.75,11.5,32961,0
20130225,11.51,11.78,11.21,11.78,5171,0
20130226,11.75,11.75,11.21,11.21,1851,0
20130227,11.3,11.4,11.19,11.19,2049,0
20130228,11.6,11.6,11.1,11.6,4456,0
20130301,11.58,11.59,11.22,11.22,2316,0
20130304,11.3,11.59,11.3,11.4,619,0
20130305,11.26,11.26,11.1,11.1,29786,0
20130306,11.14,11.43,10.85,11.15,7643,0
20130307,11,11.4,11,11.24,58405,0
20130308,11.24,11.98,11.24,11.92,5168,0
20130311,11.7,12.13,11.7,12,15178,0
20130312,12.02,12.95,12.02,12.7,474021,0
20130313,12.87,12.9,12.41,12.69,2889,0
20130314,12.69,12.82,12.5,12.82,4053,0
20130315,12.82,12.98,12.6,12.97,3677,0
20130318,12.9,12.95,11.71,11.82,10725,0
20130319,11.82,12.19,11.8,12.19,6330,0
20130320,12.05,12.3,12.01,12.29,3720,0
20130321,12.29,12.29,12.01,12.28,20466,0
20130322,12.2,12.2,11.81,12.19,3779,0
20130325,12.06,12.5,12.06,12.5,4368,0
20130326,12.1,12.59,12.1,12.32,42400,0
20130327,12.3,12.89,12.3,12.7,39218,0
20130328,12.8,13.1,12.52,13.1,7233,0
20130402,13.1,13.8,13.1,13.6,5403,0
20130403,13.75,14.39,13,13.28,7675,0
20130404,13.09,13.2,12.7,13.1,1737,0
20130405,13.47,13.5,13.11,13.35,1862,0
20130408,13.66,13.66,12.8,12.98,2447,0
20130409,12.97,13.3,12.72,13.3,2579,0
20130410,13.01,13.3,12.9,13.3,11947,0
20130411,13,13.1,12.85,13.1,2256,0
20130412,13.1,13.3,13,13.3,355,0
20130415,13.7,13.7,12.65,12.65,2118,0
20130417,12.5,12.5,11.52,11.52,3596,0
20130418,11.51,11.85,11.5,11.84,9031,0
20130419,12,12,11.6,11.6,2892,0
20130422,11.52,11.88,11.5,11.88,3746,0
20130423,11.8,11.88,11.65,11.87,585,0
20130424,11.88,12.07,11.62,12.07,634,0
20130425,12.07,12.5,11.8,12.5,1304,0
20130426,12.61,13,12.6,12.99,4794,0
20130429,12.98,12.98,12.5,12.5,3661,0
20130430,12.96,13,12.9,12.9,3482,0
20130502,13,13,12.6,13,1241,0
20130506,12.8,12.97,12.8,12.97,428,0
20130507,13,13,12.99,12.99,241,0
20130508,13,13,12.85,12.85,351,0
20130509,12.85,13,12.85,13,745,0
20130510,12.85,12.85,12.75,12.8,28173,0
20130513,12.99,12.99,12.8,12.95,444,0
