Date,Open,High,Low,Close,Volume,OpenInt
20121214,59.5,61.8,59.5,60.9,3035630,0
20121217,60.05,61.5,60.05,61.25,206878,0
20121218,61.8,62.4,61.5,62.25,390101,0
20121219,62.4,62.55,62.25,62.45,157317,0
20121220,62,62.6,61.9,62.25,75807,0
20121221,62.3,62.4,62,62.25,124552,0
20121227,62.2,63.55,62.05,63.25,88000,0
20121228,63.2,63.5,62.25,62.65,24568,0
20130102,62.65,64,62.65,64,48299,0
20130103,63.5,65,63.3,64.9,92190,0
20130104,64.9,65.6,64.9,65.55,31413,0
20130107,65.55,66,65.55,65.9,76905,0
20130108,65.9,66.05,61,64,80096,0
20130109,64,64.5,62.65,64.5,36619,0
20130110,64.6,65,63.3,64.45,62472,0
20130111,64,64.1,63.05,64.1,22522,0
20130114,64.35,64.35,63.05,63.1,161045,0
20130115,63,63,62,62.5,150706,0
20130116,62,63.5,61.2,63,155670,0
20130117,62.6,64.45,62.6,64.2,105254,0
20130118,64.2,65.75,64.2,65.4,71475,0
20130121,66.6,69.5,66.6,69.5,219650,0
20130122,70.5,77.5,70.4,72.8,407757,0
20130123,75,76,73.5,74.85,744541,0
20130124,74.8,74.8,73.2,74,131633,0
20130125,74,75.5,73.5,74.5,83268,0
20130128,74.5,75.9,74.5,75.5,233551,0
20130129,75.7,75.8,75.1,75.4,98357,0
20130130,75.05,75.6,73.5,73.65,138349,0
20130131,73.5,73.85,70.5,71.7,274154,0
20130201,71.9,72.8,71.2,72.25,194468,0
20130204,74.25,74.25,72.55,73.1,110558,0
20130205,74,74.25,73.35,73.5,196439,0
20130206,73.8,73.95,72.5,72.75,183396,0
20130207,72.75,72.95,71.45,72.4,84926,0
20130208,72,73,72,72.95,28963,0
20130211,72.9,73.3,72.6,73,26499,0
20130212,73.5,73.5,72.6,72.8,34485,0
20130213,72.85,73.4,72.5,72.7,48852,0
20130214,72.5,73.5,72.4,73.5,7413,0
20130215,73,73.15,70.1,73,15209,0
20130218,72.8,72.8,70.7,70.8,124622,0
20130219,70.5,71.3,68.7,70,257720,0
20130220,70.1,71.4,70.1,71.15,25460,0
20130221,70.8,70.8,69.55,70,13622,0
20130222,70,70.5,69.1,70,15625,0
20130225,70.1,71.5,70,71,24918,0
20130226,70,70.95,69.65,70.5,51883,0
20130227,70.6,71.5,70,70,75653,0
20130228,71.35,71.35,70.1,70.7,32869,0
20130301,70.5,70.7,69.85,70,70199,0
20130304,71,71.05,69.55,70.2,44323,0
20130305,70.2,71,70.2,71,15278,0
20130306,70.5,70.85,69.7,70.85,29398,0
20130307,69,69,66.5,68,244362,0
20130308,68.1,70.6,68.05,69.95,251160,0
20130311,70.5,70.6,69.5,69.8,109368,0
20130312,69.85,69.9,68.5,69.3,18913,0
20130313,69.3,69.6,68.75,68.95,104785,0
20130314,68.8,70,68.55,69.65,243837,0
20130315,69,70.25,69,70.2,87866,0
20130318,69.95,69.95,68.4,69.9,21769,0
20130319,69.2,69.8,66.85,66.85,177349,0
20130320,66.4,68.8,66.4,68.4,192884,0
20130321,68.5,68.6,67,67.9,60871,0
20130322,67,68.9,66.6,67,86142,0
20130325,67.8,69,66.55,66.6,26139,0
20130326,66.6,67.9,66.1,66.5,18698,0
20130327,66.5,69.5,66.5,69,13252,0
20130328,68.5,69.5,67.2,69.5,10115,0
20130402,69.5,69.5,68.5,68.75,48359,0
20130403,68.8,69.4,68.75,69.4,102263,0
20130404,69.4,69.45,68.65,69,43486,0
20130405,68.9,69.75,68.8,69.75,18865,0
20130408,69.75,69.75,68.5,69.5,9517,0
20130409,68.7,69.2,68.35,68.5,29516,0
20130410,69,69.3,67.1,68,20821,0
20130411,67.8,68.6,67.1,68.5,18489,0
20130412,67.7,69,67.55,68.25,67841,0
20130415,69.2,69.2,67.4,68.01,14065,0
20130417,68,68.1,67.6,68,66108,0
20130418,68,68.4,66.3,66.7,115613,0
20130419,66.3,68,66.3,67,21099,0
20130422,66.5,67.1,66.15,67,19709,0
20130423,66.27,66.8,66.27,66.75,459976,0
20130424,67,67.1,66.8,67.1,7934,0
20130425,67,67.38,66.71,67,41254,0
20130426,66.5,68.4,66.5,67.8,83744,0
20130429,68.4,69.35,67.85,69.35,20270,0
20130430,69.5,71,68.6,71,64898,0
20130502,70.7,70.7,69.22,69.6,78601,0
20130506,70,70,69.54,69.69,6771,0
20130507,70,70,69,69.45,53635,0
20130508,69.98,69.98,69,69.49,9159,0
20130509,69.95,72.6,69.55,72.5,188042,0
20130510,71.6,74.1,71.4,73.95,121944,0
20130513,73.95,73.95,73.13,73.2,23402,0
20130514,73,73.95,72.6,73.65,55396,0
20130515,73.65,75.1,73.65,75,73495,0
20130516,76.79,80,76.79,80,292284,0
20130517,80,80,78.01,79.4,122552,0
20130520,78.7,82.2,78.52,80.3,174298,0
20130521,80.25,81.36,79.4,81,360128,0
20130522,80.6,84,80.5,84,227588,0
20130523,81.5,84.4,80.03,83.8,494573,0
20130524,83.8,84.1,83,83,273790,0
20130527,83,83.3,82.5,82.5,87148,0
20130528,82.51,84,82.4,84,426528,0
20130529,84,84.24,78.5,83.99,178231,0
20130531,84,84.9,83.12,83.8,2011697,0
20130603,84,84,81.13,83.38,411544,0
20130604,82.51,86,82.22,86,656544,0
20130605,85,89.4,85,88.5,236769,0
20130606,88,88.45,87.5,88.44,184965,0
20130607,88.43,88.5,87.65,88,127231,0
20130610,88.4,92.9,88,91,242532,0
20130611,91.4,91.8,89.22,90.5,271550,0
20130612,91,91,88.66,89.7,88826,0
20130613,89.58,89.58,86.11,86.65,72641,0
20130614,86,89.88,85.21,89.88,77687,0
20130617,91,91,89.51,90.29,137957,0
20130618,91,95,91,93.9,240540,0
20130619,94,97.68,93.4,94,119263,0
20130620,93.5,93.5,90.4,90.7,140282,0
20130621,90.11,92,88.02,90,243169,0
20130624,89,90,88,88.7,165755,0
20130625,88.7,88.9,87.12,87.21,61941,0
20130626,87.11,87.5,86,86.3,56922,0
20130627,86.5,86.5,81.25,84.99,255945,0
20130628,84.99,93.44,84.99,89.5,255958,0
20130701,90,90,89.6,90,180418,0
20130702,89.95,89.95,86.8,89.5,64866,0
20130703,89,89.4,87.1,87.5,27917,0
20130704,87.1,87.9,85.7,86.5,133386,0
20130705,86.5,87.1,84,84,153182,0
20130708,84.5,86.5,83,85.45,141271,0
20130709,85.6,87.1,85,86.9,26606,0
20130710,86.9,87.1,86.85,87,110770,0
20130711,88,88.3,86.9,87,93878,0
20130712,88,89,87.26,88.65,147440,0
20130715,89,89,87.21,88,29022,0
20130716,88.7,88.7,85.1,86.5,127437,0
20130717,85.73,88.05,85.7,88,239853,0
20130718,87.5,87.8,86.11,87.11,27887,0
20130719,87,88.2,87,88.2,11067,0
20130722,88.23,90,86,86,98249,0
20130723,86.54,87.99,86.5,87.5,639998,0
20130724,87.5,87.5,87.02,87.45,133524,0
20130725,87.25,87.5,86.45,86.97,180729,0
20130726,86.97,87,86,86.22,78825,0
20130729,86.22,86.99,82.66,84.55,38897,0
20130730,84.95,85.5,83.65,85.5,197532,0
20130731,84.7,86.5,84.1,85.02,125611,0
20130801,85.33,86.75,85.33,86.75,319358,0
20130802,86.75,87.5,86.75,87.5,522906,0
20130805,87.11,88.11,87.07,88,319474,0
20130806,88.45,89.98,88,89.89,312827,0
20130807,89.98,95.5,89.8,95,341122,0
20130808,91.8,91.88,87.3,89,622125,0
20130809,89,90.7,85.6,87.8,273679,0
20130812,87.1,89.4,87.1,88.99,221611,0
20130813,89.54,90.35,89,89.99,278073,0
20130814,90.3,94,89.5,94,201138,0
20130816,92.35,94,90.5,92.31,195686,0
20130819,92.3,93.9,91.38,93.9,86987,0
20130820,92.59,93,91.41,93,110705,0
20130821,93.63,93.63,92.5,93.63,36981,0
20130822,92.6,97,92.5,97,77853,0
20130823,96,97,95.6,96.4,219896,0
20130826,96,96.05,95.11,95.11,25694,0
20130827,94.5,94.5,92.17,92.4,88532,0
20130828,92,92,89.63,90.5,87843,0
20130829,90.5,91,87.5,88.5,184216,0
20130830,89,92.62,88.85,91.5,223050,0
20130902,91.5,91.5,89.8,90,154297,0
20130903,90,91,89,89.25,329293,0
20130904,91,91,87.15,90,140087,0
20130905,89.5,89.5,84,86,156916,0
20130906,85.3,88.3,85.3,86.9,121044,0
20130909,86.85,87.9,86.03,87.5,111876,0
20130910,88.5,89.95,87.7,89.5,343570,0
20130911,90,90,88.6,89.45,94354,0
20130912,89.45,90.2,89.45,90,226975,0
20130913,90,90,88.52,89.4,26169,0
20130916,89.5,90.12,89.41,89.41,50684,0
20130917,89.41,89.41,88.01,88.5,87395,0
20130918,89,89.04,88.5,88.5,169183,0
20130919,89.37,91.81,89.37,91,289080,0
20130920,91.99,91.99,88.1,88.98,77336,0
20130923,89,89.95,86.6,87,111698,0
20130924,87.86,87.86,85.81,85.9,243107,0
20130925,86.21,88.5,85.6,88.5,165480,0
20130926,88.36,88.99,87.02,88.94,56483,0
20130927,88.94,89.1,87.52,87.52,45537,0
20130930,88.8,90.6,88.55,89.94,166419,0
20131001,90,91.8,88.04,90,211526,0
20131002,90,91.2,89.5,90.5,80535,0
20131003,90.61,92,90.55,90.55,177949,0
20131004,90.6,91.62,90.05,90.05,81407,0
20131007,90,90.75,90,90.44,61258,0
20131008,92,92.15,90.2,91,117913,0
20131009,91,93,90.5,93,107131,0
20131010,93,95,93,95,99693,0
20131011,95.2,95.5,94,94.95,45805,0
20131014,94.07,94.95,94,94.6,21923,0
20131015,94.5,98.25,94.5,97.2,1007109,0
20131016,97,99.8,96.63,99.8,64565,0
20131017,99.9,100.5,93.9,93.9,406184,0
20131018,75,78.7,72.02,73.3,2500793,0
20131021,74.5,78,74.4,78,565752,0
20131022,79.8,82.3,78.5,81.51,358530,0
20131023,81.95,82,78.6,81.51,313998,0
20131024,81.9,81.9,80,81.5,77374,0
20131025,81.5,81.5,80,81.5,114154,0
20131028,81.79,82.9,81.5,81.95,148513,0
20131029,82,82.5,81.9,82,195357,0
20131030,79,81.89,78,80,494902,0
20131031,80,80,78,78,74990,0
20131104,78.01,79.3,77.95,77.95,160152,0
20131105,77.96,78.9,75.75,77.25,226413,0
20131106,77.49,78.18,76.16,78,37256,0
20131107,78.2,78.5,76.3,76.4,48990,0
20131108,76.29,76.29,75.76,75.9,138914,0
20131112,76,77.5,75.41,75.41,43140,0
20131113,75.5,76.38,75.36,75.36,40670,0
20131114,78,81.75,76.5,77,107617,0
20131115,78.4,78.5,76.5,76.5,129432,0
20131118,77.05,77.74,76.84,77.6,169046,0
20131119,78,78,75.31,75.95,68408,0
20131120,75.89,77.3,75.35,77,88966,0
20131121,76.14,77.25,75.3,75.3,41380,0
20131122,76,76.3,74.7,75.9,109438,0
20131125,75.95,76.1,75,75.44,17683,0
20131126,75.2,75.5,73,75.5,356741,0
20131127,74.28,75.5,73.2,74.25,82973,0
20131128,74.2,74.75,73,74.5,89848,0
20131129,73.3,75.06,73.3,75,51533,0
20131202,75.11,76.25,74,74.39,34948,0
20131203,74.1,74.47,74,74.35,42994,0
20131204,74.4,74.5,73.52,73.52,35863,0
20131205,72.9,74.6,71.05,74.4,61448,0
20131206,74.7,77.24,74.5,76.85,216567,0
20131209,77,78,77,78,120627,0
20131210,78.16,79.4,77.5,78.15,439840,0
20131211,78.58,78.58,77.66,77.66,147825,0
20131212,77.66,78.8,77.66,78,236963,0
20131213,77.05,78.2,76.85,77.99,101048,0
20131216,78.35,78.35,77.51,78,173917,0
20131217,78.1,78.16,77.5,78.05,297748,0
20131218,78.15,81,77.36,78.8,290348,0
20131219,78.8,80.77,78.8,79.68,95024,0
20131220,79.43,80.54,78.51,80.54,86029,0
20131223,80,81.8,79.67,80,79317,0
20131227,80.5,81.38,80.3,80.76,29965,0
20131230,80.5,81.47,79.4,81.47,82291,0
20140102,81.3,81.44,80.5,81.4,46437,0
20140103,80.8,80.99,80.03,80.62,31523,0
20140107,79.5,80.58,79,79.05,73218,0
20140108,79.05,79.8,79.05,79.8,28006,0
20140109,79,79.8,78,79.8,63035,0
20140110,79.8,79.8,77,79.8,54625,0
20140113,78.5,81,78.32,78.93,230564,0
